#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 07 21 00 247  9.8 12.4  5.48 14.81  9.32 999 1037.2  12.4  11.8 999.0 99.0 99.00
2007 01 07 22 00 251  9.7 12.1  5.13 14.81  8.97 999 1036.8  12.4  11.8 999.0 99.0 99.00
2007 01 07 23 00 253  8.5 10.7  4.91 16.00  8.49 999 1036.7  12.4  11.8 999.0 99.0 99.00
2007 01 08 00 00 257  7.9  9.9  5.33 16.00  9.21 999 1037.1  12.4  11.8 999.0 99.0 99.00
2007 01 08 01 00 254  7.4  9.4  4.61 13.79  8.58 999 1037.4  12.4  11.8 999.0 99.0 99.00
2007 01 08 02 00 255  6.7  8.7  4.64 14.81  9.14 999 1037.9  12.3  11.8 999.0 99.0 99.00
2007 01 08 03 00 247  6.8  8.3  4.68 14.81  9.13 999 1038.3  12.3  11.8 999.0 99.0 99.00
2007 01 08 04 00 251  5.9  8.0  5.15 16.00  9.76 999 1038.6  12.2  11.8 999.0 99.0 99.00
2007 01 08 05 00 251  5.9  7.3  5.34 16.00 10.12 999 1038.8  12.1  11.8 999.0 99.0 99.00
2007 01 08 06 00 243  5.6  7.3  5.07 17.39 10.58 999 1039.0  12.1  11.8 999.0 99.0 99.00
2007 01 08 07 00 243  4.9  6.7  5.45 16.00 11.09 999 1038.9  12.0  11.8 999.0 99.0 99.00
2007 01 08 08 00 238  4.7  5.9  5.64 16.00 10.90 999 1038.6  12.0  11.8 999.0 99.0 99.00
2007 01 08 09 00 239  4.9  6.7  6.55 16.00 11.92 999 1038.2  12.0  11.8 999.0 99.0 99.00
2007 01 08 10 00 241  4.6  6.2  5.35 16.00 11.20 999 1038.0  12.0  11.8 999.0 99.0 99.00
2007 01 08 11 00 248  5.6  8.0  5.72 16.00 11.44 999 1037.8  12.0  11.8 999.0 99.0 99.00
2007 01 08 12 00 256  5.9  7.7  5.47 14.81 10.71 999 1037.7  12.0  11.8 999.0 99.0 99.00
2007 01 08 13 00 239  4.4  6.0  5.29 14.81 10.76 999 1037.4  12.0  11.8 999.0 99.0 99.00
2007 01 08 14 00 232  4.0  5.4  5.47 16.00 10.56 999 1037.3  11.8  11.8 999.0 99.0 99.00
2007 01 08 15 00 235  4.1  5.3  5.49 16.00 10.38 999 1037.3  11.8  11.8 999.0 99.0 99.00
2007 01 08 16 00 236  4.2  5.3  4.63 13.79  9.95 999 1037.3  11.7  11.8 999.0 99.0 99.00
2007 01 08 17 00 237  4.1  5.8  4.52 13.79  9.74 999 1037.4  11.7  11.8 999.0 99.0 99.00
2007 01 08 18 00 226  4.3  5.5  4.42 14.81  9.76 999 1037.6  11.9  11.8 999.0 99.0 99.00
2007 01 08 19 00 219  4.1  5.1  3.91 13.79  9.45 999 1037.4  12.0  11.8 999.0 99.0 99.00
2007 01 08 20 00 225  4.9  6.0  3.90 14.81  9.67 999 1036.7  11.9  11.8 999.0 99.0 99.00
2007 01 08 21 00 243  5.1  6.5  3.72 13.79  9.06 999 1035.9  11.8  11.9 999.0 99.0 99.00
2007 01 08 22 00 243  4.6  5.7  3.52 14.81  9.14 999 1035.1  11.8  11.9 999.0 99.0 99.00
2007 01 08 23 00 234  4.6  5.5  3.16 14.81  8.84 999 1034.2  11.8  11.9 999.0 99.0 99.00
2007 01 09 00 00 228  5.6  6.8  3.11 16.00  9.03 999 1033.5  11.7  11.9 999.0 99.0 99.00
2007 01 09 01 00 236  5.0  6.3  3.07 14.81  8.67 999 1033.2  11.5  11.9 999.0 99.0 99.00
2007 01 09 02 00 233  6.7  8.2  3.39 13.79  9.29 999 1032.8  11.4  11.9 999.0 99.0 99.00
2007 01 09 03 00 242  6.0  7.9  3.10 12.90  8.87 999 1032.3  11.2  11.8 999.0 99.0 99.00
2007 01 09 04 00 235  5.6  6.6  3.18 13.79  8.76 999 1031.8  11.0  11.8 999.0 99.0 99.00
2007 01 09 05 00 236  5.5  6.9  3.29 13.79  9.12 999 1031.5  10.9  11.8 999.0 99.0 99.00
2007 01 09 06 00 228  5.8  7.4  3.11 12.90  8.55 999 1030.8  10.8  11.8 999.0 99.0 99.00
2007 01 09 07 00 236  6.9  8.1  2.64 12.90  8.15 999 1030.3  10.7  11.8 999.0 99.0 99.00
2007 01 09 08 00 228  7.5  9.7  2.82 11.43  8.19 999 1029.2  10.5  11.8 999.0 99.0 99.00
2007 01 09 09 00 224  7.9  9.8  2.94 12.90  7.87 999 1028.1  10.4  11.8 999.0 99.0 99.00
2007 01 09 10 00 238  8.4 10.2  2.80 12.90  7.43 999 1027.4  10.5  11.8 999.0 99.0 99.00
2007 01 09 11 00 237  9.1 11.2  2.78 11.43  6.81 999 1027.1  10.6  11.8 999.0 99.0 99.00
2007 01 09 12 00 246  9.4 10.9  2.66 12.12  6.41 999 1026.3  10.7  11.8 999.0 99.0 99.00
2007 01 09 13 00 245  8.6 11.2  2.82 13.79  6.62 999 1025.3  10.8  11.8 999.0 99.0 99.00
2007 01 09 14 00 233  9.6 10.9  2.84 12.90  6.41 999 1024.0  10.8  11.8 999.0 99.0 99.00
2007 01 09 15 00 241 11.0 13.2  2.96 12.90  6.33 999 1023.3  10.7  11.8 999.0 99.0 99.00
2007 01 09 16 00 242 11.8 13.7  3.16 10.81  6.22 999 1023.3  10.9  11.8 999.0 99.0 99.00
2007 01 09 17 00 254 12.0 15.5  2.94 13.79  5.85 999 1023.3  11.4  11.8 999.0 99.0 99.00
2007 01 09 18 00 242 11.3 13.9  2.94  6.67  5.95 999 1022.9  11.7  11.8 999.0 99.0 99.00
2007 01 09 19 00 244 11.5 13.9  2.87 12.90  5.79 999 1023.1  11.8  11.8 999.0 99.0 99.00
